sep=\t
Module Resource Usage Distribution Estimates
Generated at: Apr 22, 2026 23:51:07

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	        FFs	      SRLs	      ADDs	       LUTs	    COMB4s	      RAMs	 DSP/MULTs
  +GEN_PROBE[0].genblk7.genblk3.trigger_cu:compare_unit_951c341776e3486595418e84d562b23b(WIDTH=11'b01,PIPE=1)	      7(7)	     0(0)	     0(0)	      8(8)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[1].genblk7.genblk3.trigger_cu:compare_unit_951c341776e3486595418e84d562b23b(WIDTH=11'b01,PIPE=1)	      7(7)	     0(0)	     0(0)	      8(8)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[2].genblk7.genblk3.trigger_cu:compare_unit_951c341776e3486595418e84d562b23b(WIDTH=11'b01,PIPE=1)	      7(7)	     0(0)	     0(0)	      8(8)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[3].genblk7.genblk3.trigger_cu:compare_unit_951c341776e3486595418e84d562b23b(WIDTH=11'b01,PIPE=1)	      7(7)	     0(0)	     0(0)	      8(8)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[4].genblk7.genblk3.trigger_cu:compare_unit_951c341776e3486595418e84d562b23b(WIDTH=11'b01,PIPE=1)	      7(7)	     0(0)	     0(0)	      8(8)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[5].genblk7.genblk3.trigger_cu:compare_unit_951c341776e3486595418e84d562b23b(WIDTH=11'b01,PIPE=1)	      7(7)	     0(0)	     0(0)	      8(8)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[6].genblk7.genblk3.trigger_cu:compare_unit_951c341776e3486595418e84d562b23b(WIDTH=11'b01,PIPE=1)	      7(7)	     0(0)	     0(0)	      8(8)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[7].genblk7.genblk3.trigger_cu:compare_unit_951c341776e3486595418e84d562b23b(WIDTH=11'b01,PIPE=1)	      7(7)	     0(0)	     0(0)	      8(8)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[8].genblk7.genblk3.trigger_cu:compare_unit_951c341776e3486595418e84d562b23b(WIDTH=11'b01,PIPE=1)	      7(7)	     0(0)	     0(0)	      8(8)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[9].genblk7.genblk3.trigger_cu:compare_unit_951c341776e3486595418e84d562b23b(WIDTH=11'b01,PIPE=1)	      7(7)	     0(0)	     0(0)	      8(8)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[10].genblk7.genblk3.trigger_cu:compare_unit_951c341776e3486595418e84d562b23b(WIDTH=11'b01,PIPE=1)	      7(7)	     0(0)	     0(0)	      8(8)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[11].genblk7.genblk3.trigger_cu:compare_unit_951c341776e3486595418e84d562b23b(WIDTH=11'b01000,PIPE=1)	    19(19)	     0(0)	     0(0)	    36(36)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[12].genblk7.genblk3.trigger_cu:compare_unit_951c341776e3486595418e84d562b23b(WIDTH=11'b01000,PIPE=1)	    19(19)	     0(0)	     0(0)	    37(37)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[13].genblk7.genblk3.trigger_cu:compare_unit_951c341776e3486595418e84d562b23b(WIDTH=11'b01,PIPE=1)	      7(7)	     0(0)	     0(0)	      8(8)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[14].genblk7.genblk3.trigger_cu:compare_unit_951c341776e3486595418e84d562b23b(WIDTH=11'b01,PIPE=1)	      7(7)	     0(0)	     0(0)	      8(8)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[15].genblk7.genblk3.trigger_cu:compare_unit_951c341776e3486595418e84d562b23b(WIDTH=11'b01,PIPE=1)	      8(8)	     0(0)	     0(0)	      8(8)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[16].genblk7.genblk3.trigger_cu:compare_unit_951c341776e3486595418e84d562b23b(WIDTH=11'b01000,PIPE=1)	    19(19)	     0(0)	     0(0)	    36(36)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[17].genblk7.genblk3.trigger_cu:compare_unit_951c341776e3486595418e84d562b23b(WIDTH=11'b01000,PIPE=1)	    19(19)	     0(0)	     0(0)	    36(36)	     0(0)	     0(0)	     0(0)	
  +trigger_tu:trigger_unit_951c341776e3486595418e84d562b23b(WIDTH=32'b010010,PIPE=1)	      1(1)	     0(0)	     0(0)	    31(31)	     0(0)	     0(0)	     0(0)	
  +trigger_skipper_n:trigger_skipper_951c341776e3486595418e84d562b23b	    65(65)	     0(0)	   63(63)	  220(220)	     0(0)	     0(0)	     0(0)	
  +la_biu_inst:la_biu_951c341776e3486595418e84d562b23b(CAPTURE_WIDTH=32'b0101110,DATA_DEPTH=2048)	   135(78)	    46(0)	    58(0)	  300(151)	     0(0)	    10(0)	     0(0)	
   +fifo_with_read_inst:fifo_with_read_951c341776e3486595418e84d562b23b(DATA_WIDTH=32'b0101111,ADDR_WIDTH=11,PIPE=0)	    57(57)	   46(46)	   58(58)	   149(72)	     0(0)	    10(0)	     0(0)	
    +transcode_write_addr:fifo_address_trancode_unit_951c341776e3486595418e84d562b23b(TOTAL_ADDR_WIDTH=11,CELL_ADDR_WIDTH=12,PIPE=0)	      0(0)	     0(0)	     0(0)	    31(31)	     0(0)	     0(0)	     0(0)	
    +simple_dual_port_ram_inst:edb_simple_dual_port_ram_951c341776e3486595418e84d562b23b(DATA_WIDTH=32'b0101111,ADDR_WIDTH=11,RAM_INIT_FILE="")	      0(0)	     0(0)	     0(0)	    46(46)	     0(0)	   10(10)	     0(0)	
 +debug_hub_inst:debug_hub_951c341776e3486595418e84d562b23b 	    87(87)	     0(0)	     0(0)	    90(90)	     0(0)	     0(0)	     0(0)	
