sep=\t
Module Resource Usage Distribution Estimates
Generated at: Apr 22, 2026 23:51:20

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	          FFs	      SRLs	       ADDs	         LUTs	    COMB4s	      RAMs	 DSP/MULTs
       +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_3eea493c411e46ef9fe73ece6fe11651(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +active_high.efx_resetsync_active_high:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_3eea493c411e46ef9fe73ece6fe11651(WR_DEPTH=4096,RD_DEPTH=4096,WDATA_WIDTH=64,RDATA_WIDTH=64,WADDR_WIDTH=12,RADDR_WIDTH=12,OUTPUT_REG=0,RAM_MUX_RATIO=1)	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	   32(32)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_3eea493c411e46ef9fe73ece6fe11651(SYNC_CLK=0,MODE="FWFT",WR_DEPTH=4096,WADDR_WIDTH=12,RADDR_WIDTH=12,ALMOST_FLAG=0,PROG_FULL_ASSERT=4096,PROG_FULL_NEGATE=4096,PROGRAMMABLE_EMPTY="STATIC_DUAL",PROG_EMPTY_ASSERT=1,PROG_EMPTY_NEGATE=1,HANDSHAKE_FLAG=0,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	     130(78)	     0(0)	    39(39)	      70(22)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_3eea493c411e46ef9fe73ece6fe11651(WIDTH=13)	        0(0)	     0(0)	      0(0)	      12(12)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_addr_sync:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=13,ACTIVE_LOW=0,OFF_ASSERTION=1)	      26(26)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=13)	        0(0)	     0(0)	      0(0)	       12(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=12)	        0(0)	     0(0)	      0(0)	       11(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=11)	        0(0)	     0(0)	      0(0)	       10(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=10)	        0(0)	     0(0)	      0(0)	        9(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=9)	        0(0)	     0(0)	      0(0)	        8(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=8)	        0(0)	     0(0)	      0(0)	        7(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=7)	        0(0)	     0(0)	      0(0)	        6(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=6)	        0(0)	     0(0)	      0(0)	        5(1)	     0(0)	     0(0)	     0(0)	
                +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651	        0(0)	     0(0)	      0(0)	        4(1)	     0(0)	     0(0)	     0(0)	
                 +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=4)	        0(0)	     0(0)	      0(0)	        3(1)	     0(0)	     0(0)	     0(0)	
                  +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=3)	        0(0)	     0(0)	      0(0)	        2(1)	     0(0)	     0(0)	     0(0)	
                   +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=2)	        0(0)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_3eea493c411e46ef9fe73ece6fe11651(WIDTH=13)	        0(0)	     0(0)	      0(0)	      12(12)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_addr_sync:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=13,ACTIVE_LOW=0,OFF_ASSERTION=1)	      26(26)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=13)	        0(0)	     0(0)	      0(0)	       12(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=12)	        0(0)	     0(0)	      0(0)	       11(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=11)	        0(0)	     0(0)	      0(0)	       10(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=10)	        0(0)	     0(0)	      0(0)	        9(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=9)	        0(0)	     0(0)	      0(0)	        8(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=8)	        0(0)	     0(0)	      0(0)	        7(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=7)	        0(0)	     0(0)	      0(0)	        6(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=6)	        0(0)	     0(0)	      0(0)	        5(1)	     0(0)	     0(0)	     0(0)	
                +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651	        0(0)	     0(0)	      0(0)	        4(1)	     0(0)	     0(0)	     0(0)	
                 +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=4)	        0(0)	     0(0)	      0(0)	        3(1)	     0(0)	     0(0)	     0(0)	
                  +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=3)	        0(0)	     0(0)	      0(0)	        2(1)	     0(0)	     0(0)	     0(0)	
                   +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=2)	        0(0)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
  +u2_i2c_master_ctrl_top:i2c_master_ctrl_top               	      172(0)	     0(0)	     17(0)	      290(0)	     0(0)	     2(0)	     0(0)	
   +u_reg_set:i2c_master_reg_set(DATA_LENGTH=161,I2C_DEVICE_ADDR=8'b01100000)	      13(13)	     0(0)	      0(0)	      21(21)	     0(0)	     2(0)	     0(0)	
    +u_user_rom:i2c_master_reg_rom(TOTAL_ROM_DEPTH=161)     	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     2(2)	     0(0)	
   +u_i2c_ctrl:i2c_16addr_8data(CLK_DIV=16'b0100000)        	      51(51)	     0(0)	      0(0)	    116(116)	     0(0)	     0(0)	     0(0)	
   +i2c_top_inst:i2c_master_top                             	     108(34)	     0(0)	     17(0)	     153(22)	     0(0)	     0(0)	     0(0)	
